"use_code","definition.x","type.x","n_parcels","retail_flag","retail_subtype","review_note"
"003","Multi-family - 10 units or more","Commercial",899,FALSE,NA,"exclude in v0.1 baseline"
"010","Vacant Commercial","Commercial",5914,TRUE,"retail_adjacent","recommended include"
"011","Stores, one story","Commercial",2184,TRUE,"core_retail","recommended include"
"012","Mixed use - store and office or store and residential combination","Commercial",642,TRUE,"core_retail","recommended include"
"013","Department Stores","Commercial",65,TRUE,"core_retail","recommended include"
"014","Supermarkets","Commercial",600,TRUE,"core_retail","recommended include"
"015","Regional Shopping Centers","Commercial",9,TRUE,"core_retail","recommended include"
"016","Community Shopping Centers","Commercial",1467,TRUE,"core_retail","recommended include"
"017","Office buildings, non-professional service buildings, one story","Commercial",5274,FALSE,NA,"exclude in v0.1 baseline"
"018","Office buildings, non-professional service buildings, multi-story","Commercial",533,FALSE,NA,"exclude in v0.1 baseline"
"019","Professional service buildings","Commercial",1852,FALSE,NA,"exclude in v0.1 baseline"
"020","Airports (private or commercial), bus terminals, marine terminals, piers, marinas","Commercial",253,FALSE,NA,"exclude in v0.1 baseline"
"021","Restaurants, cafeterias","Commercial",653,TRUE,"core_retail","recommended include"
"022","Drive-in Restaurants","Commercial",639,TRUE,"core_retail","recommended include"
"023","Financial institutions (banks, saving and loan companies, mortgage companies, credit services)","Commercial",319,FALSE,NA,"exclude in v0.1 baseline"
"024","Insurance company offices","Commercial",2,FALSE,NA,"exclude in v0.1 baseline"
"025","Repair service shops (excluding automotive), radio and T.V. repair, refrigeration service, electric repair, laundries, Laundromats","Commercial",270,FALSE,NA,"exclude in v0.1 baseline"
"026","Service stations","Commercial",173,TRUE,"retail_adjacent","include for v0.1 review"
"027","Auto sales, auto repair and storage, auto service shops, body and fender shops, commercial garages, farm and machinery sales and services, auto rental, marine equipment, trailers and related equipment, mobile home sales, motorcycles, construction vehicle sales","Commercial",1524,TRUE,"retail_adjacent","include for v0.1 review"
"028","Parking lots (commercial or patron), mobile home parks","Commercial",1385,TRUE,"retail_adjacent","include for v0.1 review"
"029","Wholesale outlets, produce houses, manufacturing outlets","Commercial",10,FALSE,NA,"exclude in v0.1 baseline"
"030","Florists, greenhouses","Commercial",25,FALSE,NA,"exclude in v0.1 baseline"
"031","Drive-in theaters, open stadiums","Commercial",3,FALSE,NA,"exclude in v0.1 baseline"
"032","Enclosed theaters, enclosed auditoriums","Commercial",18,FALSE,NA,"exclude in v0.1 baseline"
"033","Nightclubs, cocktail lounges, bars","Commercial",141,TRUE,"retail_adjacent","include for v0.1 review"
"034","Bowling alleys, skating rinks, pool halls, enclosed arenas","Commercial",34,TRUE,"retail_adjacent","include for v0.1 review"
"035","Tourist attractions, permanent exhibits, other entertainment facilities, fairgrounds (privately owned)","Commercial",36,FALSE,NA,"exclude in v0.1 baseline"
"036","Camps","Commercial",53,FALSE,NA,"exclude in v0.1 baseline"
"037","Race tracks (horse, auto, or dog)","Commercial",4,FALSE,NA,"exclude in v0.1 baseline"
"038","Golf courses, driving ranges","Commercial",90,FALSE,NA,"exclude in v0.1 baseline"
"039","Hotels, motels","Commercial",388,FALSE,NA,"exclude in v0.1 baseline"
